Papel;EV/EBIT;P/VP;Div.Yield;Liq.2meses
MNDL4;5,60;0,03;0;0,00
CTNM3;-3,40;-0,58;0;0,00
DOCA3;-6,86;-0,03;0;0,00
FGUI4;-14,24;-0,07;0;0,00
FHER3;0,21;-0,20;0;34078,40
WISA4;-19,27;-0,01;0;0,00
PLAS3;-13,44;-0,09;0;903,63
LETO3;0,00;-0,05;0;0,00
PMAM4;-22,51;-0,07;0;0,00
WISA3;-19,21;-0,01;0;0,00
INEP4;-12,29;-0,04;0;35913,10
INEP3;-12,26;-0,04;0;66578,70
VVEO3;-26,13;0,20;0;1705950,00
CTAX3;-6,58;0,31;0;4455,51
CTSA8;-3,50;0,21;0;0,00
AERI3;-2,26;-4,00;0;413722,00
DOCA4;-6,71;-0,01;0;0,00
DUQE4;-1,23;-1,19;0;0,00
CTSA3;-3,14;0,13;0;406,33
FTRX3;-1,77;-0,02;0;0,00
SJOS4;-118,23;-0,01;0;0,00
CTSA4;-3,10;0,11;0;1527,30
FTRX4;-1,74;-0,02;0;0,00
TEKA3;39,59;-0,01;0;0,00
SNSY5;116,22;-0,01;0;4879,05
TXRX4;-41,26;-0,02;0;204,65
FBMC4;-0,53;-0,02;0;0,00
RPMG3;-0,05;-0,02;0;24696,60
JFEN3;-2,22;-0,20;0;18771,30
OIBR3;-3,91;-0,01;0;1400180,00
VPTA4;-6,89;-0,01;0;0,00
TEKA4;38,92;0,00;0;0,00
PMAM3;-21,00;-0,01;0;667350,00
CTNM4;-2,95;-0,07;0;0,00
TENE7;-0,98;-0,01;0;0,00
VPSC4;-0,20;4,30;0;0,00
VAGV3;-8,90;-0,01;0;0,00
SEQL3;-1,59;-0,07;0;1367820,00
DHBI4;-21,09;-0,01;0;0,00
VAGV4;-8,87;-0,01;0;0,00
GAFP3;-46,92;-0,01;0;0,00
ARTE3;-15,85;-0,04;0;0,00
TROR3;-728,92;-0,01;0;0,00
AGXY3;-0,82;-0,05;0;104281,00
VPSC3;-0,15;2,59;0;0,00
VPTA3;-6,82;0,00;0;0,00
ARTE4;-15,79;-0,03;0;0,00
GSHP3;38,28;0,00;0;1898,42
TROR4;-726,24;0,00;0;0,00
SGPS3;-3,04;-0,02;0;0,00
GAFP4;-46,65;-0,01;0;0,00
MILK33;-0,11;-0,02;0;0,00
PDGR3;-7,38;0,00;0;419419,00
SCAR4;7,33;0,00;0;0,00
RPMG4;0,02;0,00;0;0,00
OSXB3;-102,91;0,00;0;6711,58
CGOS4;-313,85;0,00;0;0,00
TENE5;0,04;0,00;0;0,00
CBMA3;2278,25;0,00;0;0,00
CBMA4;2278,25;0,00;0;0,00
OSAO4;-11,14;0,00;0;0,00
ECIS4;1,53;0,00;0;0,00
ECIS3;1,53;0,00;0;0,00
PTIP4;3,62;0,00;0;0,00
CLSC6;0,00;0,00;0;0,00
SALM3;1,10;0,00;0;0,00
ODER3;0,00;0,00;0;0,00
DUFB11;0,00;0,00;0;0,00
SLCP3;0,00;0,00;0;0,00
ARPS3;-14,08;0,00;0;0,00
INHA3;-6,61;0,00;0;0,00
SALM4;1,10;0,00;0;0,00
VNET3;0,00;0,00;0;0,00
JBDU3;0,00;0,00;0;0,00
JFAB4;-112,33;0,00;0;0,00
MSAN4;0,21;0,00;0;0,00
BSGR3;0,00;0,00;0;0,00
AGEI3;0,00;1,25;0;0,00
MLPA3;-2,08;0,00;0;0,00
LATS3;1,27;0,00;0;0,00
EQMA5B;0,00;0,00;0;0,00
EQMA6B;0,00;0,00;0;0,00
LECO3;-3,00;0,00;0;0,00
ESTC4;5,29;0,00;0;0,00
PRBC3;0,00;0,00;0;0,00
GPIV33;0,56;0,23;0;0,00
MSAN3;0,21;0,00;0;0,00
VGOR3;6,77;0,00;0;0,00
BBTG13;0,00;0,00;0;0,00
BPAT33;0,00;0,82;0,3572;0,00
GALO4;0,00;0,00;0;0,00
GALO3;0,00;0,00;0;0,00
BPNM3;0,00;0,00;0;0,00
SASG3;0,00;0,00;0;0,00
CSPC4;1,43;0,00;0;0,00
TNEP3;-1,09;0,00;0;0,00
VVAX3;-4,44;0,00;0;0,00
TNEP4;-1,09;0,00;0;0,00
BBTG11;0,00;0,00;0;0,00
ALBA3;-1,27;0,00;0;0,00
CCTY3;0,00;0,00;0;0,00
CZRS3;0,00;0,00;0;0,00
BERG3;-10,49;0,00;0;0,00
IGTA3;0,00;1,42;0;0,00
ICPI3;0,00;0,00;0;0,00
VVAX4;-4,44;0,00;0;0,00
CCHI3;0,00;-0,01;0;0,00
SGEN4;-4,50;0,09;0;0,00
CSPC3;1,43;0,00;0;0,00
BMEF3;0,00;4,16;0;0,00
SGEN3;-32,42;0,77;0;0,00
REPA4;4,54;0,00;0;0,00
CCHI4;0,00;-0,01;0;0,00
SFSA3;0,00;0,00;0;0,00
REPA3;4,54;0,00;0;0,00
CMMA4;0,03;0,00;0;0,00
VSPT4;0,00;0,00;0;0,00
ILLS4;0,73;0,00;0;0,00
ABCB3;0,00;0,00;0;0,00
PTIP3;3,62;0,00;0;0,00
OBTC3;0,00;25094,80;0;870936,00
BOVH3;0,00;6,16;0;0,00
ARPS4;-14,08;0,00;0;0,00
VSPT3;0,00;0,00;0;0,00
SEBB4;-0,23;0,00;0;0,00
OMGE3;0,00;1081,64;0;0,00
DAYC3;0,00;0,00;0;0,00
SEBB3;-0,23;0,00;0;0,00
ENER5;3,28;0,00;0;0,00
ENER3;3,28;0,00;0;0,00
ENER6;3,28;0,00;0;0,00
TEFC11;3,45;0,00;0;0,00
CAFE4;-45,27;0,00;0;0,00
CESP4;7,17;0,00;0;0,00
MLPA12;-2,06;0,00;0;0,00
MLPA4;-2,06;0,00;0;0,00
CAFE3;-45,67;-0,01;0;0,00
BSCT3;0,00;0,00;0;0,00
CORR3;3,33;0,06;0;0,00
SULT4;0,89;0,01;0;0,00
SULT3;1,02;0,01;0;0,00
BPHA3;1,60;-0,24;0;0,00
IGBR5;-4,55;-0,04;0;0,00
IGBR6;-4,55;-0,04;0;0,00
AZUL4;7,73;-0,04;0;55060900,00
MNPR4;-0,90;0,17;0;0,00
BRSR4;0,00;0,01;0;0,00
PALF11;2,57;0,03;0;0,00
LREN4;-0,32;0,01;0;0,00
RCTB42;4,53;0,00;0;0,00
NEXP3;-0,27;-0,17;0;1926,23
CREM4;3,55;0,01;0;0,00
AMER3;-1,68;0,24;0;17441700,00
RSID3;-32,81;-0,04;0;17990,70
TPRC6;0,00;0,01;0;0,00
PALF5;2,60;0,06;0;0,00
TPRC3;0,01;0,01;0;0,00
PALF3;2,61;0,07;0;0,00
RCTB41;4,53;0,00;0;0,00
MEND5;-25,79;0,00;0;0,00
RCTB31;4,53;0,00;0;0,00
SLED4;-0,74;-0,04;0;0,00
CORR4;2,87;0,41;0;0,00
ASSM4;1,88;-0,15;0;0,00
MEND6;-25,85;-0,01;0;0,00
RCTB33;4,52;0,00;0;0,00
GAZO4;1,03;-0,03;0;0,00
ASSM3;1,95;-0,17;0;0,00
BELG4;0,40;0,07;0;0,00
BELG3;0,41;0,07;0;0,00
AGEN33;3,73;-0,03;0;0,00
TRPN3;-0,35;0,54;1,0474;0,00
SLED3;-0,96;-0,08;0;0,00
GAZO3;1,43;-0,05;0;0,00
FCAP3;-15,27;0,11;0;0,00
MNPR3;2,35;1,48;0;146775,00
IGBR3;-7,85;-0,34;0;10393,30
FCAP4;-16,07;0,13;0;0,00
HOOT4;0,71;-2,34;0;38800,80
LIGT3;5,65;0,33;0;6796590,00
NORD3;-20,22;-0,24;0;378,84
TARP11;195,29;0,25;0;0,00
BNBR4;0,00;0,18;0;0,00
EBEN4;3,40;0,53;0;0,00
SUZA4;5,54;0,19;0;0,00
TSPP4;1,30;0,37;0;0,00
MTBR3;0,73;0,67;0;0,00
CEDO4;3,24;0,38;0;20926,00
MTBR4;0,80;0,71;0;0,00
TSPP3;1,63;0,51;0;0,00
CPFG4;0,84;0,76;0;0,00
CPFG3;0,87;0,79;0;0,00
CTKA4;6,92;6,12;0;13414,50
ESCE3;4,53;0,55;0;0,00
CTKA3;6,99;6,29;0;644,65
PLIM4;1,50;0,03;0;0,00
CYRE4;4,54;0,33;0;0,00
HETA4;80,15;-0,01;0;99,67
CEDO3;3,46;0,50;0;3134,07
FIGE3;0,00;0,16;0;0,00
AHEB3;2,82;0,92;0;10036,70
MMAQ3;-14,31;0,34;0;0,00
MMAQ4;-14,31;0,34;0,3567;0,00
APTI4;-13,82;0,24;0;0,00
CLSC5;4,92;0,39;0;0,00
CTPC4;-2,44;0,03;0;0,00
BMKS3;-2,17;0,75;0,078;13057,90
JBSS3;4,75;0,74;0,2618;0,00
EALT4;4,22;0,74;0,058;176708,00
TBLE6;5,53;0,71;0;0,00
SUZB6;7,06;0,52;0;0,00
PRIO3;11,67;1,20;0;275058000,00
MARI3;4,89;0,76;0;0,00
ELPL4;4,49;0,54;0;0,00
STBP11;3,14;3,10;0;0,00
MWET4;-4,08;1,98;0;6859,72
LIGH3;12,21;1,19;0;0,00
TBLE5;5,73;0,80;0;0,00
RANI4;5,47;0,89;0;0,00
EALT3;4,75;0,86;0,0452;23227,80
SUZB5;7,37;0,62;0;0,00
VTRU3;4,13;0,51;0,0021;3747130,00
BAZA3;0,00;0,59;0,1073;467310,00
BOBR3;2,56;275,96;0;0,00
JHSF3;11,75;0,69;0,0665;26728000,00
LUXM4;7,30;0,85;0,0355;110572,00
CSRN3;4,78;1,28;0;0,00
BNBR3;0,00;0,67;0,06;17512,70
PTPA3;7,06;1,14;0;0,00
CAMB4;2,59;0,86;0;0,00
PTPA4;7,23;1,19;0;0,00
VINE3;7,40;0,65;0;0,00
CSRN5;5,02;1,42;0;0,00
DAYC4;0,00;0,71;0;0,00
VINE5;7,52;0,67;0;0,00
CSRN6;5,09;1,45;0;0,00
SOND5;2,07;1,69;0,1416;1074,79
CEEB5;5,46;1,06;0,0602;718,74
BRAV3;8,34;0,54;0;143588000,00
BBAS3;0,00;0,67;0,0838;700552000,00
REDE4;5,40;1,40;0;0,00
SOND3;2,26;1,80;0,1213;0,00
CEEB3;5,59;1,12;0,0566;29912,40
BOBR4;2,88;344,96;0;11238,70
AHEB6;5,87;1,87;0;0,00
CPFP4;5,06;4,06;0;0,00
MWET3;-4,44;2,88;0;73,47
BRSR6;0,00;0,47;0,1004;14726300,00
VBBR3;11,19;1,25;0,0465;249525000,00
SAPR4;8,16;0,90;0,0641;7309620,00
VCPA4;4,05;1,02;0;0,00
CMIG4;6,40;1,08;0,0771;99705900,00
AHEB5;6,19;1,97;0;0,00
SAPR11;8,28;0,92;0,0616;42111100,00
FRAS4;5,08;0,74;0;0,00
BGIP4;0,00;0,69;0,1004;63489,00
PETR4;3,41;0,95;0,1764;874500000,00
ISAE4;6,79;0,78;0,0974;51422400,00
RANI3;6,92;1,34;0,0916;5784330,00
BMEB3;0,00;2,18;0,0252;13908,80
BMGB4;0,00;0,62;0,0797;1724970,00
DEXP4;5,29;0,83;0,0696;35641,30
BRSR3;0,00;0,53;0,0901;92980,40
SAPR3;8,69;0,99;0,0531;1533520,00
DEXP3;5,37;0,84;0,0671;898417,00
PETR3;3,51;1,01;0,1667;338496000,00
VALE5;3,19;0,71;0;0,00
MRSA6B;5,26;0,96;0,0446;400,05
MRSA6B;5,26;0,96;0,0446;400,05
TASA4;12,38;0,49;0,0409;1742390,00
CGRA4;5,11;0,66;0,1064;476219,00
CGRA3;5,15;0,66;0,1058;61766,30
LOGG3;24,58;0,53;0,0975;6691750,00
CEPE5;7,87;1,41;0;0,00
SOND6;2,95;2,18;0,1098;530,28
CBEE3;7,64;0,44;0,0429;794,77
PTNT4;8,53;0,55;0,0565;40943,70
RECV3;5,12;0,81;0,1789;27863700,00
MRSA5B;5,40;1,01;0,0428;507,56
MRSA5B;5,40;1,01;0,0428;507,56
CALI3;45,03;0,64;0,0166;1931,63
ABCB4;0,00;0,81;0,0893;7853450,00
COGN3;5,27;0,49;0,0203;84068000,00
BGIP3;0,00;0,80;0,0793;10097,20
